N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"Les presento mi primera partida de la UNAM, admito estar sumamente nervioso, me temblaban las manos y estaba taquicárdico. Mi sistema límbico estaba gritando, pero decidí sentarme y hacer ejercicios de relajación, es decir, respirar profundamente."
2,e6,e7e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"Desde este momento, noté cierta confusión de mi contricante quien la manifestó sacudiendo la cabeza de un lado para otro, negando y como quien deduce que el rival (yo) ha hecho una jugada mala. Decidió jugar Cf3."
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"Desde este momento, noté cierta confusión de mi contricante quien la manifestó sacudiendo la cabeza de un lado para otro, negando y como quien deduce que el rival (yo) ha hecho una jugada mala. Decidió jugar Cf3."
4,d5,d7d5,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,"Decidí seguir con lo planeado, defensa francesa y esperar que me tenían preparado. Nunca hay que confiarse, y quise jugar a la espera de la fuerza ajedrecistica de mi contrincante"
5,exd5,e4d5,rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,"Es muy molesto el Ag4, me pareció una buena maniobra para desconcertar aún más a mi rival y tomar de cierta manera, la iniciativa."
6,exd5,e6d5,rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,"Es muy molesto el Ag4, me pareció una buena maniobra para desconcertar aún más a mi rival y tomar de cierta manera, la iniciativa."
7,d4,d2d4,rnbqkbnr/ppp2ppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,"Es muy molesto el Ag4, me pareció una buena maniobra para desconcertar aún más a mi rival y tomar de cierta manera, la iniciativa."
8,Bg4,c8g4,rn1qkbnr/ppp2ppp/8/3p4/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,"Es muy molesto el Ag4, me pareció una buena maniobra para desconcertar aún más a mi rival y tomar de cierta manera, la iniciativa."
9,Nbd2,b1d2,rn1qkbnr/ppp2ppp/8/3p4/3P2b1/5N2/PPPN1PPP/R1BQKB1R b KQkq - 2 5,"Demasiado pasiva, pero sostenible, de hecho no es una jugada mala. Sin embargo le da demasiado importancia a un alfil que no la tiene."
10,Nf6,g8f6,rn1qkb1r/ppp2ppp/5n2/3p4/3P2b1/5N2/PPPN1PPP/R1BQKB1R w KQkq - 3 6,"En estos momentos decido desarrollar y enrocarme, pues aún no sabía contra que clase de rival me enfrentaría"
